day,num_topics,doc_count,num_unassigned,npmi,td
2023-01-01,6,352,37,-0.16110460262027423,0.9333333333333333
2023-01-02,6,632,104,-0.16115329575792658,0.95
2023-01-03,6,772,292,-0.28157179078740524,0.9333333333333333
2023-01-04,5,783,229,-0.04505205978914558,0.96
2023-01-05,5,814,185,-0.07788789347158853,0.98
2023-01-06,5,767,138,-0.283589370276044,0.96
2023-01-07,7,467,165,-0.30327952530075863,0.9285714285714286
2023-01-08,8,437,96,-0.19307115300573996,0.95
2023-01-09,5,825,276,-0.05891485243429393,1.0
2023-01-10,5,786,169,-0.12796314082552085,0.96
2023-01-11,10,792,266,-0.19494936646869096,0.88
2023-01-12,11,805,312,-0.17637488110442723,0.9181818181818182
2023-01-13,7,785,131,-0.1783051174379435,0.9714285714285714
2023-01-14,7,445,113,-0.2865136488582734,0.8857142857142857
2023-01-15,7,344,95,-0.24768335550767337,0.9714285714285714
2023-01-16,2,774,0,-0.3196815354758912,1.0
2023-01-17,14,790,308,-0.14739704331623488,0.9142857142857143
2023-01-18,7,749,162,-0.2580306174137675,0.9
2023-01-19,18,777,237,-0.19662749649110076,0.9222222222222223
2023-01-20,2,700,0,-0.20733761075759816,1.0
2023-01-21,5,432,120,-0.28937724384322416,1.0
2023-01-22,6,315,111,-0.19581452054625745,0.9
2023-01-23,16,747,326,-0.1901787480618517,0.90625
2023-01-24,8,745,233,-0.2348179948762382,0.9625
2023-01-25,2,736,9,-0.2382532663860905,1.0
2023-01-26,9,752,294,-0.11883471785483085,0.9777777777777777
2023-01-27,13,720,229,-0.28619230486151925,0.9692307692307692
2023-01-28,4,467,174,-0.19390787229552744,0.975
2023-01-29,5,376,61,-0.2877368524467996,1.0
2023-01-30,4,736,278,-0.07315369287731989,0.9
2023-01-31,9,821,172,-0.15322996897425573,0.9444444444444444
2023-02-01,12,900,254,-0.14599776008707352,0.9333333333333333
2023-02-02,17,865,284,-0.15590081424842828,0.9352941176470588
2023-02-03,2,822,0,-0.06116413684299066,1.0
2023-02-04,7,474,109,-0.2665959143610118,0.9285714285714286
2023-02-05,4,392,8,-0.09147436330229011,0.975
2023-02-06,7,835,213,-0.178265092403425,0.9857142857142858
2023-02-07,13,867,174,-0.2158519526617219,0.9461538461538461
2023-02-08,9,865,206,-0.1431071548876811,0.9333333333333333
2023-02-09,12,885,307,-0.15294934694665,0.9583333333333334
2023-02-10,10,825,227,-0.16998145395619307,0.95
2023-02-11,10,503,168,-0.1404866670608255,0.9
2023-02-12,9,377,122,-0.2965691033149701,0.9444444444444444
2023-02-13,2,809,0,-0.20871497523659355,0.95
2023-02-14,8,865,218,-0.1300554948804231,0.9625
2023-02-15,6,840,214,-0.20189388265741573,0.9333333333333333
2023-02-16,8,812,223,-0.12491828964119836,0.9625
2023-02-17,7,862,323,-0.22828814437999892,0.9285714285714286
2023-02-18,12,613,185,-0.25582235271161285,0.875
2023-02-19,9,558,117,-0.17736038988820246,0.9222222222222223
2023-02-20,8,727,147,-0.19750160846054196,0.9375
2023-02-21,4,685,11,-0.18223658719397623,0.975
2023-02-22,15,759,200,-0.2438034174150305,0.9333333333333333
2023-02-23,2,821,0,-0.14110225014803232,1.0
2023-02-24,3,829,0,-0.015722706906338996,0.9666666666666667
2023-02-25,2,503,0,-0.05868734397325394,1.0
2023-02-26,2,413,0,0.02287363852870493,1.0
2023-02-27,2,820,0,0.0011459926511470653,1.0
2023-02-28,10,822,281,-0.20771336301834045,0.96
2023-03-01,2,824,0,-0.11366850023641606,1.0
2023-03-02,2,824,0,-0.03340582359482626,0.9
2023-03-03,2,787,0,-0.12786493294484683,0.95
2023-03-04,2,480,0,-0.16376231791198853,1.0
2023-03-05,2,382,0,0.017534237562511767,0.95
2023-03-06,2,759,0,0.054831121412879325,0.95
2023-03-07,8,812,275,-0.1348919701559228,0.9375
2023-03-08,2,832,0,-0.08880661071150447,0.95
