timestamp,processing_date,newsId,doc,section,section_name_list
2023-01-01,2025-07-22 00:13:50.511429,5d568bde-6553-43f4-b5b3-beef0e62faf9,Amazonenses terão feriados prolongados em 2023 e possibilidade de emendar outros,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,dfe9dbfa-9f37-43ba-926f-e50e7a109eab,Davi é o nome do primeiro bebê nascido em 2023 em Bauru,5,"['bebê', 'primeiro', '2023', 'nascido', 'menina', 'conheça', 'nascer', 'renatta', 'rede', 'pública']"
2023-01-01,2025-07-22 00:13:50.511429,edb19c6a-eef1-4f82-90ca-4bf851a86671,Governadores e vices tomam posse pelo país saiba como foi,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,f3c96392-541a-4b47-a560-25eb4a6fab49,Ronaldo Caiado toma posse virtualmente para segundo mandato como governador de Goiás,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,8ee66a1e-80cd-4b0c-818b-f174de1c0f8d,Vereador Caio André toma posse como novo presidente da Câmara Municipal de Manaus ,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,39881ebc-c66b-47d1-a1d5-3afc3bfc3eeb,Aprenda a fazer uma torta de nozes,-1,[]
2023-01-01,2025-07-22 00:13:50.511429,b16965d3-4f99-4391-9405-a470cc4a8ee3,Parque Nacional do Iguaçu recebeu quase 15 milhão de visitantes em 2022 aponta balanço,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,ad785b37-7dfe-4fa7-af23-8bfc1c60f880,Google atualiza cargo de Jair Bolsonaro para expresidente do Brasil,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,a88da7b5-0237-4380-b8b7-f83331159592,Angra dos Reis começa 2023 com procissão marítima veja fotos,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,cebe7f11-32e1-4e67-8ab3-43d16dad3f47,Motociclista morre após bater em poste de energia elétrica em Birigui ,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,35385df4-8d58-41d9-a6cc-e103d21e7323,Quem é quem os 37 ministros empossados por Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,7fee77cb-0263-4e86-b9f7-d64eeaf9208c,Postes na areia de praias de Salinópolis no Pará geram preocupação na internet pode ocasionar acidentes,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,23accd63-d38f-4396-a908-59a29e5880ae,Mega da Virada 3 apostas premiadas são de cidades com até 11 mil habitantes,4,"['mega', 'virada', 'aposta', 'prêmio', 'mil', 'bolão', 'apostas', 'milhões', 'habitantes', 'brinca']"
2023-01-01,2025-07-22 00:13:50.511429,c924d1cf-3393-4bd9-9247-e1268c07754d,Caneta dada por apoiador piauiense e usada por Lula em posse gera memes veja,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,be9b87a1-5eb3-43c1-ad7c-05e067d03488,Primeiro bebê de 2023 em Natal nasceu à 0h01 deste domingo 1º,5,"['bebê', 'primeiro', '2023', 'nascido', 'menina', 'conheça', 'nascer', 'renatta', 'rede', 'pública']"
2023-01-01,2025-07-22 00:13:50.511429,e7118b33-61f0-4d3b-bdc3-dcf9f13a8343,Vaticano prepara velório do Papa Bento XVI,-1,[]
2023-01-01,2025-07-22 00:13:50.511429,d336c2a7-a5db-4d91-861a-8e74612734f9,Deputados estaduais tomam posse para mais um mandato na Assembleia Legislativa de Roraima,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,c8a84c3e-4d42-43cf-913a-f485f4f0c550,Homem morre afogado em represa do interior de São Paulo ,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,7026ce07-c298-4aa3-a7a5-d4c1e9421c33,Jovem é preso por agredir exesposa em Paty do Alferes,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,e2ef1e55-4e31-4367-baeb-0e9cc76f2733,Rafael Fonteles diz que vai constranger ministros com bóton do Piauí como estado mais lulista do Brasil ,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,e4c97149-9510-4581-98f7-07f3a6b4f20e,Imprensa internacional repercute a posse de Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
